number_of_reviews,minimum_nights,neighbourhood_group,room_type,price
0.02702702702702703,0.010408326661329063,0.5,0.0,137
0.0,0.010408326661329063,0.25,0.5,40
0.009538950715421305,0.023218574859887906,0.5,0.0,99
0.004769475357710652,0.0032025620496397116,0.25,0.5,120
0.3577106518282989,0.0008006405124099279,0.25,0.0,149
0.507154213036566,0.0,0.5,0.5,88
0.2591414944356121,0.0008006405124099279,0.5,0.0,239
0.0,0.0008006405124099279,0.5,0.0,99
0.001589825119236884,0.0032025620496397116,0.5,0.0,150
0.06200317965023848,0.0,0.25,0.0,200
0.020667726550079493,0.0024019215372297837,0.25,0.5,40
0.044515103338632754,0.0024019215372297837,0.5,0.5,100
0.001589825119236884,0.004803843074459567,0.75,0.0,52
0.0,0.004803843074459567,1.0,0.0,77
0.006359300476947536,0.023218574859887906,0.5,0.5,50
0.041335453100158986,0.0,0.5,0.5,59
0.009538950715421305,0.0,0.5,0.5,35
0.0,0.0,0.5,0.5,120
0.001589825119236884,0.0032025620496397116,0.5,0.5,100
0.0,0.0024019215372297837,0.5,0.0,170
0.10492845786963435,0.0016012810248198558,0.25,0.5,100
0.001589825119236884,0.0008006405124099279,0.5,0.0,243
0.0,0.021617293835068052,0.5,0.5,70
0.2098569157392687,0.0,0.5,0.5,105
0.006359300476947536,0.0,0.5,0.5,90
0.05882352941176471,0.0,0.5,1.0,80
0.0,0.010408326661329063,0.25,0.0,250
0.001589825119236884,0.023218574859887906,0.5,0.0,175
0.0,0.011208967173738989,0.5,0.0,85
0.001589825119236884,0.0008006405124099279,0.25,0.0,89
0.007949125596184421,0.0,0.5,1.0,60
0.017488076311605726,0.0016012810248198558,0.25,0.5,85
0.003179650238473768,0.0032025620496397116,0.25,0.0,200
0.01907790143084261,0.0008006405124099279,0.25,0.0,140
0.046104928457869634,0.0016012810248198558,0.25,0.0,200
0.017488076311605726,0.0,0.75,1.0,35
0.020667726550079493,0.0008006405124099279,0.25,0.0,125
0.001589825119236884,0.0016012810248198558,0.5,0.0,495
0.001589825119236884,0.0008006405124099279,0.25,0.0,200
0.0,0.0,0.5,0.0,6800
0.003179650238473768,0.0024019215372297837,0.5,0.0,300
0.3306836248012719,0.021617293835068052,0.25,0.0,146
0.04292527821939587,0.004803843074459567,0.5,0.0,72
0.044515103338632754,0.0008006405124099279,0.75,0.5,78
0.02702702702702703,0.0008006405124099279,0.25,0.5,60
0.017488076311605726,0.023218574859887906,0.5,0.0,89
0.06359300476947537,0.0008006405124099279,0.25,0.5,65
0.0,0.023218574859887906,0.25,0.0,90
0.20508744038155804,0.0016012810248198558,0.25,0.0,130
0.007949125596184421,0.0008006405124099279,0.25,0.5,160
0.012718600953895072,0.0008006405124099279,0.5,0.0,300
0.011128775834658189,0.0,0.5,0.0,189
0.0,0.0008006405124099279,0.75,0.5,80
0.001589825119236884,0.0016012810248198558,0.5,0.0,159
0.001589825119236884,0.0,0.25,0.5,50
0.001589825119236884,0.007205764611689351,0.25,0.5,31
0.06518282988871224,0.0008006405124099279,0.75,0.5,45
0.0,0.0008006405124099279,0.25,0.0,200
0.0,0.024019215372297835,0.5,0.0,125
0.06677265500794913,0.023218574859887906,0.25,0.5,42
0.041335453100158986,0.0016012810248198558,0.5,0.0,130
0.32432432432432434,0.0032025620496397116,0.5,0.5,100
0.007949125596184421,0.0008006405124099279,0.25,0.0,350
0.08108108108108109,0.0008006405124099279,0.25,0.0,130
0.11287758346581876,0.0008006405124099279,0.5,0.5,65
0.003179650238473768,0.0008006405124099279,0.25,0.0,90
0.0,0.023218574859887906,0.5,0.0,285
0.001589825119236884,0.023218574859887906,0.5,0.0,138
0.0,0.004803843074459567,0.5,0.0,120
0.0,0.0016012810248198558,0.25,0.0,99
0.0,0.0,0.25,0.5,99
0.0,0.0008006405124099279,0.25,0.0,200
0.003179650238473768,0.0,0.5,0.5,80
0.007949125596184421,0.0016012810248198558,0.25,0.5,249
0.0,0.0016012810248198558,0.25,0.0,100
0.015898251192368842,0.0,0.5,0.5,120
0.07313195548489666,0.0008006405124099279,0.25,0.0,119
0.0,0.004803843074459567,0.5,0.0,125
0.06836248012718601,0.0008006405124099279,0.5,0.5,79
0.006359300476947536,0.0016012810248198558,0.5,0.0,175
0.0,0.023218574859887906,0.5,0.0,175
0.004769475357710652,0.0,0.5,0.5,100
0.001589825119236884,0.0032025620496397116,0.5,0.5,75
0.0,0.0008006405124099279,0.5,0.5,43
0.015898251192368842,0.0,0.5,1.0,90
0.007949125596184421,0.0008006405124099279,0.5,0.5,210
0.3624801271860096,0.0,0.25,0.5,109
0.009538950715421305,0.0008006405124099279,0.75,0.5,60
0.0,0.023218574859887906,0.5,0.5,67
0.007949125596184421,0.004803843074459567,0.25,0.5,60
0.06518282988871224,0.0016012810248198558,0.5,0.0,275
0.01907790143084261,0.006405124099279423,0.25,0.5,65
0.020667726550079493,0.0016012810248198558,0.5,0.0,203
0.07790143084260732,0.0,0.5,0.0,119
0.1987281399046105,0.0016012810248198558,0.25,0.0,120
0.004769475357710652,0.0,0.25,0.5,70
0.0,0.016012810248198558,0.5,0.5,100
0.05405405405405406,0.0016012810248198558,0.25,0.0,151
0.07631160572337044,0.023218574859887906,0.5,0.0,250
0.03497615262321145,0.0008006405124099279,0.5,0.0,200
0.001589825119236884,0.0008006405124099279,0.5,0.5,79
0.0,0.023218574859887906,0.5,0.0,268
0.0,0.0,0.5,0.5,75
0.003179650238473768,0.0,0.5,0.0,229
0.001589825119236884,0.0,0.5,0.5,105
0.09220985691573927,0.004803843074459567,0.25,0.5,65
0.02702702702702703,0.0008006405124099279,0.5,0.5,100
0.0794912559618442,0.0,0.75,0.5,50
0.5596184419713832,0.0,0.75,0.0,89
0.0,0.0008006405124099279,0.25,0.5,75
0.0,0.0,0.5,0.5,150
0.10174880763116058,0.0,0.5,0.5,95
0.006359300476947536,0.0032025620496397116,0.25,0.0,115
0.009538950715421305,0.0,0.25,0.5,110
0.003179650238473768,0.0008006405124099279,0.25,0.0,137
